Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
667,1,2,Litleo,Fire/Normal,1,13,8,19,,,25,,,,12,14,13,6,10,10,1,,Pyroar,2,DEX,,,Perception,"Bug, Fairy, Fire, Grass, Ice, Steel","Fighting, Ground, Rock, Water",Ghost,Rivalry,Unnerve,Moxie,"Starting Moves: Tackle, Leer
Level 2: Ember, Work Up, Headbutt
Level 6: Noble Roar, Take Down
Level 10: Fire Fang, Endeavor
Level 14: Echoed Voice, Flamethrower, Crunch
Level 18: Hyper Voice, Incinerate, Overheat

TM: 01, 05, 06, 10, 11, 12, 17, 18, 21, 22, 27, 32, 35, 38, 42, 43, 44, 45, 46, 48, 49, 50, 61, 66, 78, 87, 88, 90, 93, 95, 97, 100

Abilities: Rivalry, Unnerve
Hidden Ability: Moxie","Litleo can evolve into Pyroar at level 9 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body."
668,2,2,Pyroar,Fire/Normal,9,15,12,63,,,35,,,,14,18,16,6,12,10,5,9,,2,STR,DEX,,"Perception, Intimidation","Bug, Fairy, Fire, Grass, Ice, Steel","Fighting, Ground, Rock, Water",Ghost,Rivalry,Unnerve,Moxie,"Starting Moves: Hyper Beam, Tackle, Leer, Ember, Work Up, Headbutt
Level 6: Noble Roar, Take Down
Level 10: Fire Fang, Endeavor
Level 14: Echoed Voice, Flamethrower, Crunch
Level 18: Hyper Voice, Incinerate, Overheat

TM: 01, 05, 06, 10, 11, 12, 15, 17, 18, 21, 22, 27, 32, 35, 38, 42, 43, 44, 45, 46, 48, 49, 50, 61, 66, 68, 78, 87, 88, 90, 93, 95, 97, 100

Abilities: Rivalry, Unnerve
Hidden Ability: Moxie",,,,,The male with the largest mane of fire is the leader of the pride.
669,1,3,Flabébé,Fairy,0.5,13,6,17,,,10,,10,,12,11,13,6,10,12,1,,Floette,3,CHA,,,"Medicine, Survival","Bug, Dark, Fighting","Poison, Steel",Dragon,Flower Veil,,Symbiosis,"Starting Moves: Tackle, Vine Whip
Level 2: Fairy Wind, Lucky Chant
Level 6: Razor Leaf, Wish, Magical Leaf
Level 10: Grassy Terrain, Petal Blizzard
Level 14: Aromatherapy, Misty Terrain, Moonblast
Level 18: Petal Dance, Solar Beam

TM: 04, 06, 10, 11, 17, 18, 20, 21, 22, 27, 29, 32, 42, 44, 45, 48, 49, 53, 86, 87, 88, 90, 96, 99, 100

Abilities: Flower Veil
Hidden Ability: Symbiosis","Flabébé can evolve into Floette at level 6 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.
670,2,3,Floette,Fairy,8,15,8,52,,,10,,20,,13,13,14,6,12,14,5,6,Florges,3,CHA,,,"Medicine, Survival","Bug, Dark, Fighting","Poison, Steel",Dragon,Flower Veil,,Symbiosis,"Starting Moves: Tackle, Vine Whip, Fairy Wind, Lucky Chant
Level 6: Razor Leaf, Wish
Level 10: Magical Leaf, Grassy Terrain
Level 14: Petal Blizzard, Aromatherapy, Misty Terrain
Level 18: Moonblast, Petal Dance, Solar Beam

TM: 04, 06, 10, 11, 17, 18, 20, 21, 22, 27, 29, 32, 42, 44, 45, 48, 49, 53, 86, 87, 88, 90, 96, 99, 100

Abilities: Flower Veil
Hidden Ability: Symbiosis","Floette can evolve into Florges at level 12 and above, with the help of a Shiny Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.
671,3,3,Florges,Fairy,14,17,10,127,,,15,,25,,16,15,18,6,14,16,10,12,,3,CHA,CON,,"Medicine, Survival, Persuasion","Bug, Dark, Fighting","Poison, Steel",Dragon,Flower Veil,,Symbiosis,"Starting Moves: Aromatherapy, Disarming Voice, Flower Shield, Grass Knot, Grassy Terrain, Lucky Chant, Magical Leaf
Level 14: Misty Terrain, Moonblast, Petal Blizzard
Level 18: Petal Dance, Wish

TM: 04, 06, 10, 11, 15, 16, 17, 18, 20, 21, 22, 27, 29, 32, 42, 44, 45, 48, 49, 53, 68, 86, 87, 88, 90, 96, 99, 100

Abilities: Flower Veil
Hidden Ability: Symbiosis",,,,,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants."
672,1,2,Skiddo,Grass,1,13,8,20,,,25,,,,13,12,14,6,10,10,1,,Gogoat,2,CON,,,"Survival, Athletics","Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Sap Sipper,,Grass Pelt,"Starting Moves: Growth, Tackle
Level 2: Vine Whip, Tail Whip, Leech Seed, Razor Leaf
Level 6: Worry Seed, Synthesis, Take Down
Level 10: Bulldoze, Seed Bomb
Level 14: Bulk Up, Double-Edge
Level 18: Horn Leech, Leaf Blade, Milk Drink

TM: 01, 05, 06, 08, 10, 11, 17, 18, 21, 22, 27, 31, 32, 42, 44, 45, 48, 53, 66, 78, 80, 86, 87, 88, 90, 93, 94, 96, 100

Abilities: Sap Sipper
Hidden Ability: Grass Pelt","Skiddo can evolve into Gogoat at level 9 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition."
673,2,2,Gogoat,Grass,12,15,12,109,,,30,,,,16,15,20,6,12,10,8,9,,2,CON,STR,,"Survival, Athletics","Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Sap Sipper,,Grass Pelt,"Starting Moves: Aerial Ace, Earthquake, Growth, Tackle, Vine Whip, Tail Whip, Leech Seed, Razor Leaf, Worry Seed, Synthesis, Take Down
Level 10: Bulldoze, Seed Bomb
Level 14: Bulk Up, Double-Edge
Level 18: Horn Leech, Leaf Blade, Milk Drink

TM: 01, 05, 06, 08, 10, 11, 15, 17, 18, 21, 22, 26, 27, 31, 32, 40, 42, 44, 45, 48, 53, 66, 68, 78, 80, 86, 87, 88, 90, 93, 94, 96, 100

Abilities: Sap Sipper
Hidden Ability: Grass Pelt",,,,,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.
674,1,2,Pancham,Fighting,1,13,8,20,,,25,,,,14,11,14,6,10,10,1,,Pangoro,2,DEX,,,Intimidation,"Bug, Dark, Rock","Fairy, Flying, Psychic",,Iron Fist,Mold Breaker,Scrappy,"Starting Moves: Leer, Tackle
Level 2: Arm Thrust, Work Up, Karate Chop
Level 6: Comet Punch, Slash
Level 10: Circle Throw, Vital Throw
Level 14: Body Slam, Crunch
Level 18: Entrainment, Parting Shot, Sky Uppercut

TM: 01, 05, 06, 08, 10, 11, 17, 18, 21, 27, 31, 32, 36, 39, 40, 41, 42, 44, 45, 47, 48, 49, 54, 56, 65, 66, 71, 75, 78, 80, 86, 87, 88, 90, 94, 97, 100

Abilities: Iron Fist, Mold Breaker
Hidden Ability: Scrappy","Pancham can evolve into Pangoro at level 9 and above, only if its trainer has another dark-type Pokemon in their party. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,15,,"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark."
675,2,2,Pangoro,Fighting/Dark,12,15,12,101,,,30,,,,18,14,18,6,12,10,8,9,,2,STR,CON,,"Intimidation, Athletics","Dark, Ghost, Rock","Fairy, Fighting, Flying",Psychic,Iron Fist,Mold Breaker,Scrappy,"Starting Moves: Bullet Punch, Leer, Tackle, Arm Thrust, Work Up, Karate Chop, Comet Punch, Slash
Level 10: Circle Throw, Vital Throw, Body Slam
Level 14: Crunch, Entrainment, Parting Shot
Level 18: Sky Uppercut, Low Sweep, Taunt, Hammer Arm

TM: 01, 02, 05, 06, 08, 10, 11, 12, 15, 17, 18, 21, 26, 27, 31, 32, 36, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 52, 54, 56, 60, 63, 65, 66, 68, 71, 75, 78, 80, 81, 83, 84, 86, 87, 88, 90, 94, 95, 97, 100

Abilities: Iron Fist, Mold Breaker
Hidden Ability: Scrappy",,,20,,"Although it possesses a violent temperament, it won't put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies."
676,1,1,Furfrou,Normal,10,16,10,59,,,30,,,,16,18,17,8,10,10,5,,,1,CON,WIS,,Persuasion,None,Fighting,Ghost,Fur Coat,,,"Starting Moves: Growl, Tackle, Sand Attack, Baby-Doll Eyes, Headbutt
Level 6: Tail Whip, Bite
Level 10: Odor Sleuth, Retaliate
Level 14: Take Down, Charm
Level 18: Sucker Punch, Cotton Guard

TM: 01, 05, 06, 10, 11, 17, 18, 21, 27, 32, 42, 44, 45, 48, 49, 57, 68, 73, 86, 87, 88, 89, 90, 93, 94, 95, 97, 100

Abilities: Fur Coat
",,,,,Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.
677,1,2,Espurr,Psychic,1,13,8,18,,,20,,,Darkvision 30ft,11,13,11,6,12,12,1,,Meowstic,2,WIS,,,Insight,"Fighting, Psychic","Bug, Dark, Ghost",,Keen Eye,Infiltrator,Own Tempo,"Starting Moves: Leer, Scratch
Level 2: Covet, Confusion, Light Screen
Level 6: Psybeam, Fake Out, Disarming Voice
Level 10: Psyshock

TM: 01, 03, 04, 06, 10, 11, 16, 17, 18, 20, 21, 24, 27, 29, 32, 33, 41, 42, 44, 45, 48, 49, 53, 57, 66, 73, 77, 85, 87, 88, 90, 92, 97, 100

Abilities: Keen Eye, Infiltrator
Hidden Ability: Own Tempo","Espurr can evolve into Meowstic at level  7 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,15,,The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.
678,2,2,Meowstic ♂,Psychic,9,15,10,58,,,25,,,Darkvision 60ft,12,17,14,6,16,14,5,7,,2,WIS,,,"Insight, Perception","Fighting, Psychic","Bug, Dark, Ghost",,Keen Eye,Infiltrator,Prankster,"Starting Moves: Leer, Magical Leaf, Me First, Scratch, Covet, Confusion, Light Screen
Level 6: Psybeam, Fake Out, Disarming Voice
Level 10: Psyshock, Charge Beam, Shadow Ball, Extrasensory
Level 14: Psychic, Role Play, Signal Beam
Level 18: Sucker Punch, Future Sight, Stored Power

TM: 01, 03, 04, 06, 10, 11, 15, 16, 17, 18, 20, 21, 24, 27, 29, 30, 32, 33, 41, 42, 44, 45, 48, 49, 53, 57, 66, 68, 73, 77, 85, 87, 88, 90, 92, 97, 100

Abilities: Keen Eye, Infiltrator
Hidden Ability: Prankster",,,20,,"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust."
678,2,2,Meowstic ♀,Psychic,9,15,10,58,,,25,,,Darkvision 60ft,12,17,14,6,16,14,5,7,,2,WIS,,,"Insight, Perception","Fighting, Psychic","Bug, Dark, Ghost",,Keen Eye,Infiltrator,Competitive,"Starting Moves: Helping Hand, Leer, Mean Look, Scratch, Covet, Confusion, Light Screen
Level 6: Psybeam, Fake Out, Disarming Voice
Level 10: Psyshock, Charm, Miracle Eye, Reflect
Level 14: Psychic, Role Play, Imprison
Level 18: Sucker Punch, Misty Terrain, Quick Guard

TM: 01, 03, 04, 06, 10, 11, 15, 16, 17, 18, 20, 21, 24, 27, 29, 30, 32, 33, 41, 42, 44, 45, 48, 49, 53, 57, 66, 68, 73, 77, 85, 87, 88, 90, 92, 97, 100

Abilities: Keen Eye, Infiltrator
Hidden Ability: Competitive",,,20,,"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust."
679,1,3,Honedge,Steel/Ghost,1,13,6,17,,,,,20,,11,14,12,8,10,10,1,,Doublade,3,WIS,CON,,Acrobatics,"Bug, Dragon, Fairy, Flying, Grass, Ice, Psychic, Rock, Steel","Dark, Fire, Ghost, Ground","Fighting, Normal, Poison",No Guard,,,"Starting Moves: Swords Dance, Tackle
Level 2: Fury Cutter, Metal Sound, Pursuit
Level 6: Autotomize, Shadow Sneak, Aerial Ace
Level 10: Retaliate, Slash, Iron Defense
Level 14: Night Slash, Power Trick
Level 18: Iron Head, Sacred Sword

TM: 06, 10, 17, 18, 21, 27, 31, 32, 33, 40, 42, 44, 45, 54, 59, 65, 74, 75, 80, 87, 88, 90, 91, 100

Abilities: No Guard
","Honedge can evolve into Doublade at level 9 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.
680,2,3,Doublade,Steel/Ghost,10,14,8,76,,,,,25,,13,16,14,8,12,10,8,9,Aegislash,3,WIS,CON,,Acrobatics,"Bug, Dragon, Fairy, Flying, Grass, Ice, Psychic, Rock, Steel","Dark, Fire, Ghost, Ground","Fighting, Normal, Poison",No Guard,,,"Starting Moves: Swords Dance, Tackle, Fury Cutter, Metal Sound, Pursuit, Autotomize, Shadow Sneak, Aerial Ace
Level 10: Retaliate, Slash, Iron Defense
Level 14: Night Slash, Power Trick
Level 18: Iron Head, Sacred Sword

TM: 06, 10, 17, 18, 21, 27, 31, 32, 33, 40, 42, 44, 45, 54, 59, 65, 74, 75, 80, 87, 88, 90, 91, 100

Abilities: No Guard
","Doublade can evolve into Aegislash at level 15 and above with the help of a Dusk Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons."
681,3,3,Aegislash,Steel/Ghost,13,15,10,120,,,,,30,,16,20,16,8,14,10,10,15,,3,WIS,CON,,Athletics,"Bug, Dragon, Fairy, Flying, Grass, Ice, Psychic, Rock, Steel","Dark, Fire, Ghost, Ground","Fighting, Normal, Poison",Stance Change,,,"Starting Moves: Aerial Ace, Autotomize, Fury Cutter, Head Smash, Iron Defense, Iron Head, King's Shield, Night Slash, Power Trick, Pursuit, Shadow Sneak, Slash, Swords Dance
Level 18: Sacred Sword, Iron Head

TM: 06, 10, 11, 15, 17, 18, 21, 27, 30, 31, 32, 33, 40, 42, 44, 45, 48, 54, 59, 65, 68, 74, 75, 80, 87, 88, 90, 91, 100

Abilities: Stance Change
",,,,,"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon."
682,1,2,Spritzee,Fairy,2,13,10,22,,,15,,20,,12,9,15,6,10,14,1,,Aromatisse,2,CHA,,,"Persuasion, Deception","Bug, Dark, Fighting","Poison, Steel",Dragon,Healer,,Aroma Veil,"Starting Moves: Fairy Wind, Sweet Scent
Level 2: Sweet Kiss, Odor Sleuth, Echoed Voice
Level 6: Calm Mind, Draining Kiss
Level 10: Aromatherapy, Attract, Moonblast
Level 14: Charm, Flail, Misty Terrain
Level 18: Skill Swap, Psychic, Disarming Voice

TM: 04, 06, 10, 11, 16, 17, 18, 21, 24, 27, 29, 32, 33, 41, 42, 44, 45, 48, 49, 53, 57, 74, 77, 85, 87, 88, 90, 91, 92, 99, 100

Abilities: Healer
Hidden Ability: Aroma Veil","Spritzee can evolve into Aromatisse at level 9 and above with the help of a Sachet. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten.
683,2,2,Aromatisse,Fairy,12,15,12,110,,,25,,,,14,11,18,6,12,18,8,9,,2,CHA,,,"Persuasion, Deception","Bug, Dark, Fighting","Poison, Steel",Dragon,Healer,,Aroma Veil,"Starting Moves: Aromatic Mist, Fairy Wind, Heal Pulse, Sweet Scent, Sweet Kiss, Odor Sleuth, Echoed Voice, Calm Mind, Draining Kiss
Level 10: Aromatherapy, Attract, Moonblast, Charm
Level 14: Flail, Misty Terrain, Skill Swap
Level 18: Psychic, Disarming Voice, Reflect, Psych Up

TM: 03, 04, 06, 10, 11, 15, 16, 17, 18, 21, 24, 25, 27, 29, 32, 33, 41, 42, 44, 45, 48, 49, 53, 57, 68, 74, 77, 85, 87, 88, 90, 91, 92, 99, 100

Abilities: Healer
Hidden Ability: Aroma Veil",,,,,"It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle."
684,1,2,Swirlix,Fairy,1,14,8,19,,,,,20,,10,11,13,6,10,14,1,,Slurpuff,2,CON,,,Survival,"Bug, Dark, Fighting","Poison, Steel",Dragon,Sweet Veil,,Unburden,"Starting Moves: Sweet Scent, Tackle
Level 2: Fairy Wind, Play Nice, Fake Tears
Level 6: Round, Cotton Spore, Endeavor
Level 10: Aromatherapy, Draining Kiss
Level 14: Energy Ball, Cotton Guard, Wish
Level 18: Play Rough, Light Screen, Safeguard

TM: 04, 06, 10, 11, 16, 17, 18, 20, 21, 24, 27, 29, 32, 35, 42, 44, 45, 46, 48, 53, 77, 85, 87, 88, 90, 94, 99, 100

Abilities: Sweet Veil
Hidden Ability: Unburden","Swirlix can evolve into Slurpuff at level 9 and above with the help of a Whipped Dream. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy."
685,2,2,Slurpuff,Fairy,12,16,12,93,,,,,25,,13,13,16,6,12,18,8,9,,2,CON,,,"Survival, Investigation","Bug, Dark, Fighting","Poison, Steel",Dragon,Sweet Veil,,Unburden,"Starting Moves: Sweet Scent, Tackle, Fairy Wind, Play Nice, Fake Tears, Round, Cotton Spore, Endeavor
Level 10: Aromatherapy, Draining Kiss
Level 14: Energy Ball, Cotton Guard
Level 18: Wish, Play Rough, Light Screen, Safeguard

TM: 04, 06, 10, 11, 15, 16, 17, 18, 20, 21, 24, 27, 29, 32, 35, 42, 44, 45, 46, 48, 53, 68, 77, 85, 87, 88, 90, 94, 99, 100

Abilities: Sweet Veil
Hidden Ability: Unburden",,,,,It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.
686,1,2,Inkay,Dark/Psychic,1,13,6,17,,,,20,,,11,11,12,8,14,10,1,,Malamar,2,DEX,,,"Stealth, Deception",None,"Bug, Fairy",Psychic,Contrary,Suction Cups,Infiltrator,"Starting Moves: Constrict, Peck, Tackle, Reflect
Level 2: Foul Play, Swagger, Psywave
Level 6: Topsy-Turvy, Hypnosis, Psybeam
Level 10: Switcheroo, Payback, Light Screen
Level 14: Pluck, Psycho Cut
Level 18: Slash, Night Slash, Superpower

TM: 04, 06, 10, 11, 12, 16, 17, 18, 21, 24, 27, 29, 32, 33, 35, 40, 41, 42, 44, 45, 46, 48, 56, 63, 66, 77, 80, 87, 88, 90, 92, 97, 100

Abilities: Contrary, Suction Cups
Hidden Ability: Infiltrator","Inkay can evolve into Malamar at level 8 and above. When it evolves, its health increases by double its level, and it gains 19 points to add to its ability scores (max 20).",19,,,Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.
687,2,2,Malamar,Dark/Psychic,11,16,12,57,,,25,30,,,14,13,16,10,18,14,5,8,,2,DEX,WIS,,"Deception, Intimidation",None,"Bug, Fairy",Psychic,Contrary,Suction Cups,Infiltrator,"Starting Moves: Constrict, Peck, Reversal, Tackle, Reflect, Foul Play, Swagger, Psywave
Level 6: Topsy-Turvy, Hypnosis, Psybeam
Level 10: Switcheroo, Payback, Light Screen
Level 14: Pluck, Psycho Cut
Level 18: Slash, Night Slash, Superpower

TM: 03, 04, 06, 10, 11, 12, 15, 16, 17, 18, 21, 24, 27, 29, 32, 33, 35, 40, 41, 42, 44, 45, 46, 48, 56, 59, 63, 66, 68, 77, 80, 87, 88, 90, 92, 97, 100

Abilities: Contrary, Suction Cups
Hidden Ability: Infiltrator",,,,,"It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants."
688,1,2,Binacle,Rock/Water,1,14,6,17,,,10,,,,13,12,13,6,10,10,1,,Barbaracle,2,STR,CON,,Sleight of Hand,"Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Sniper,Tough Claws,Pickpocket,"Starting Moves: Sand Attack, Scratch, Shell Smash, Water Gun
Level 2: Withdraw, Fury Swipes, Slash
Level 6: Mud-Slap, Clamp
Level 10: Rock Polish, Ancient Power, Hone Claws
Level 14: Fury Cutter, Night Slash
Level 18: Razor Shell, Cross Chop

TM: 06, 10, 12, 13, 14, 17, 18, 20, 21, 23, 26, 27, 31, 32, 34, 36, 37, 39, 40, 41, 42, 44, 45, 46, 48, 54, 55, 56, 63, 65, 66, 69, 71, 75, 78, 80, 81, 83, 84, 86, 87, 88, 90, 94, 96, 100

Abilities: Sniper, Tough Claws
Hidden Ability: Pickpocket","Binacle can evolve into Barbaracle at level 10 and above. When it evolves, its health increases by double its level, and it gains 13 points to add to its ability scores (max 20).",13,,,"Two Binacle live together on one rock. When they fight, one of them will move to a different rock."
689,2,2,Barbaracle,Rock/Water,12,17,10,84,,,25,,,,19,15,17,6,12,10,8,10,,2,STR,CON,,"Athletics, Sleight of Hand","Fire, Flying, Ice, Normal, Poison","Electric, Fighting, Grass, Ground",,Sniper,Tough Claws,Pickpocket,"Starting Moves: Sand Attack, Scratch, Shell Smash, Water Gun, Withdraw, Fury Swipes, Slash, Mud-Slap, Clamp
Level 10: Rock Polish, Ancient Power, Hone Claws
Level 14: Fury Cutter, Night Slash, Razor Shell
Level 18: Cross Chop, Stone Edge, Skull Bash

TM: 02, 06, 08, 10, 12, 13, 14, 15, 17, 18, 20, 21, 23, 26, 27, 31, 32, 34, 36, 37, 39, 40, 41, 42, 44, 45, 46, 48, 52, 54, 55, 56, 59, 63, 65, 66, 68, 69, 71, 75, 78, 80, 81, 83, 84, 86, 87, 88, 90, 94, 96, 100

Abilities: Sniper, Tough Claws
Hidden Ability: Pickpocket",,,,,"When they evolve, two Binacle multiply into seven. They fight with the power of seven Binacle."
690,1,2,Skrelp,Poison/Water,0.5,13,6,17,,,,25,,,14,10,13,6,10,10,1,,Dragalge,2,CON,,,"Stealth, Deception","Bug, Fairy, Fighting, Fire, Ice, Poison, Steel, Water","Electric, Ground, Psychic",,Poison Point,Poison Touch,Adaptability,"Starting Moves: Smokescreen, Tackle, Water Gun
Level 2: Feint Attack, Tail Whip, Bubble
Level 6: Acid, Camouflage, Poison Tail
Level 10: Water Pulse, Double Team, Toxic
Level 14: Aqua Tail, Sludge Bomb
Level 18: Hydro Pump, Dragon Pulse

TM: 06, 07, 09, 10, 17, 18, 21, 24, 27, 30, 32, 34, 36, 42, 44, 45, 48, 55, 87, 88, 90, 94, 98, 100

Abilities: Poison Point, Poison Touch
Hidden Ability: Adaptability","Skrelp can evolve into Dragalge at level 12 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off."
691,2,2,Dragalge,Poison/Dragon,12,17,8,92,,,,30,,,17,13,19,6,12,10,8,12,,2,CON,,,"Stealth, Deception","Bug, Electric, Fighting, Fire, Grass, Poison, Water","Dragon, Ground, Ice, Psychic",,Poison Point,Poison Touch,Adaptability,"Starting Moves: Smokescreen, Tackle, Twister, Water Gun, Feint Attack, Tail Whip, Bubble, Acid, Camouflage
Level 10: Poison Tail, Water Pulse, Double Team
Level 14: Toxic, Aqua Tail, Sludge Bomb
Level 18: Hydro Pump, Dragon Pulse, Dragon Tail

TM: 06, 07, 09, 10, 15, 17, 18, 21, 24, 25, 27, 30, 32, 34, 36, 42, 44, 45, 48, 52, 55, 68, 82, 87, 88, 90, 94, 98, 100

Abilities: Poison Point, Poison Touch
Hidden Ability: Adaptability",,,,,"Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory."
692,1,2,Clauncher,Water,1,14,6,18,,,15,20,,,14,10,14,6,10,10,1,,Clawitzer,2,STR,CON,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Mega Launcher,,,"Starting Moves: Splash, Water Gun
Level 2: Water Sport, Vice Grip, Bubble
Level 6: Flail, Bubble Beam
Level 10: Swords Dance, Crabhammer
Level 14: Water Pulse, Smack Down
Level 18: Aqua Jet, Muddy Water

TM: 06, 09, 10, 13, 17, 18, 21, 23, 27, 32, 34, 36, 42, 44, 45, 48, 55, 75, 80, 87, 88, 89, 90, 91, 94, 98, 100

Abilities: Mega Launcher
","Clauncher can evolve into Clawitzer at level 10 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.
693,2,2,Clawitzer,Water,11,16,10,84,,,25,25,,,18,14,17,6,12,10,8,10,,2,STR,CON,,Survival,"Fire, Ice, Steel, Water","Electric, Grass",,Mega Launcher,,,"Starting Moves: Aura Sphere, Dark Pulse, Dragon Pulse, Heal Pulse, Splash, Water Gun, Water Sport, Vice Grip, Bubble, Flail, Bubble Beam
Level 10: Swords Dance, Crabhammer
Level 14: Water Pulse, Smack Down
Level 18: Aqua Jet, Muddy Water

TM: 06, 09, 10, 13, 15, 17, 18, 21, 23, 27, 30, 32, 34, 36, 42, 44, 45, 48, 52, 55, 68, 75, 80, 87, 88, 89, 90, 91, 94, 97, 98, 100

Abilities: Mega Launcher
",,,,,Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.
694,1,2,Helioptile,Electric/Normal,0.25,12,6,16,,,20,,,,10,14,11,6,10,10,1,,Heliolisk,2,CON,DEX,,"Survival, Acrobatics","Electric, Flying, Steel","Fighting, Ground",Ghost,Dry Skin,Sand Veil,Solar Power,"Starting Moves: Pound, Tail Whip
Level 2: Thunder Shock, Charge, Mud-Slap
Level 6: Quick Attack, Razor Wind
Level 10: Parabolic Charge, Thunder Wave
Level 14: Bulldoze, Volt Switch
Level 18: Electrify, Thunderbolt

TM: 06, 10, 16, 17, 18, 21, 24, 25, 27, 32, 37, 39, 42, 44, 45, 47, 48, 57, 72, 73, 77, 78, 80, 82, 86, 87, 88, 89, 90, 93, 94, 97, 100

Abilities: Dry Skin, Sand Veil
Hidden Ability: Solar Power","Helioptile can evolve into Heliolisk at level 9 and above with the help of a Sun Stone. When it evolves, its health increases by double its level, and it gains 15 points to add to its ability scores (max 20).",15,,,"They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement."
695,2,2,Heliolisk,Electric/Normal,11,16,10,84,,,40,,,,15,19,16,6,12,10,8,9,,2,CON,DEX,,"Survival, Acrobatics","Electric, Flying, Steel","Fighting, Ground",Ghost,Dry Skin,Sand Veil,Solar Power,"Starting Moves: Charge, Eerie Impulse, Electrify, Parabolic Charge, Quick Attack, Razor Wind, Thunder

TM: 06, 10, 15, 16, 17, 18, 21, 24, 25, 27, 32, 37, 39, 42, 44, 45, 47, 48, 52, 57, 59, 68, 72, 73, 77, 78, 80, 82, 86, 87, 88, 89, 90, 93, 94, 97, 100

Abilities: Dry Skin, Sand Veil
Hidden Ability: Solar Power",,,,,They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.
